,name,image
106,Bruno Jura Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/09057110_Jura_Laufhund.jpg/400px-09057110_Jura_Laufhund.jpg
107,Brussels Griffon,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Brussels_Griffon_Rembrant.png/400px-Brussels_Griffon_Rembrant.png
108,Bucovina Shepherd Dog,https://upload.wikimedia.org/wikipedia/commons/d/dd/Bucovina_Sheepdog.jpg
109,Bull and Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Benjamin_Marshall_-_Dustman_-_Bulldog_and_Terrier_Mix.jpg/400px-Benjamin_Marshall_-_Dustman_-_Bulldog_and_Terrier_Mix.jpg
110,Bull Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Bull_Terrier_Chico_10.jpg/400px-Bull_Terrier_Chico_10.jpg
111,Bulldog,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Racib%C3%B3rz_2007_082.jpg/400px-Racib%C3%B3rz_2007_082.jpg
112,Bullenbeisser,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Bullenbeiser.jpg/400px-Bullenbeiser.jpg
113,Bullmastiff,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Brutus_bullmastiff.jpg/400px-Brutus_bullmastiff.jpg
114,Bully Kutta,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/PakistaniMastiffPunjab.jpg/400px-PakistaniMastiffPunjab.jpg
115,Burgos Pointer,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Burgos_Pointer_or_Perdiguero_de_Burgos.JPG/400px-Burgos_Pointer_or_Perdiguero_de_Burgos.JPG
116,Cairn Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Cairn_Terrier_-_002.jpg/400px-Cairn_Terrier_-_002.jpg
117,Campeiro Bulldog,https://upload.wikimedia.org/wikipedia/commons/9/95/Buldogue_Campeiro.jpg
118,Canaan Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/CanaanDog3.jpg/400px-CanaanDog3.jpg
119,Canadian Eskimo Dog,https://upload.wikimedia.org/wikipedia/commons/7/79/Spoonsced.jpg
120,Cane Corso,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Italian_Corso_Dog_2.JPG/400px-Italian_Corso_Dog_2.JPG
121,Cantabrian Water Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Kantauriar_ur-txakurra1.jpg/400px-Kantauriar_ur-txakurra1.jpg
122,Cão da Serra de Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Cao_de_Serra_de_Aires600.jpg/400px-Cao_de_Serra_de_Aires600.jpg
123,Cão de Castro Laboreiro,https://upload.wikimedia.org/wikipedia/commons/8/88/Cao_de_castro_laboreiro.jpg
124,Cão de Gado Transmontano,https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png
125,Cão Fila de São Miguel,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Caofila.jpg/400px-Caofila.jpg
126,Carolina Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/American_Dingo_aka_Carolina_Dog1.jpg/400px-American_Dingo_aka_Carolina_Dog1.jpg
127,Carpathian Shepherd Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Carpatin.jpg/400px-Carpatin.jpg
128,Catalan Sheepdog,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Gos_d%27Atura_Catal%C3%A0.JPG/400px-Gos_d%27Atura_Catal%C3%A0.JPG
129,Caucasian Shepherd Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/CaucasianOvcharka-Julius.jpg/400px-CaucasianOvcharka-Julius.jpg
130,Cavalier King Charles Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Miss_Betty.jpg/400px-Miss_Betty.jpg
131,Celtic Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Denario_de_la_Gens_Postumia_%2874-73_a.C.%29.jpg/400px-Denario_de_la_Gens_Postumia_%2874-73_a.C.%29.jpg
132,Central Asian Shepherd Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Central_Asian_Shepherd.jpg/400px-Central_Asian_Shepherd.jpg
133,Cesky Fousek,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Czeski_fousek_777.jpg/400px-Czeski_fousek_777.jpg
134,Cesky Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Grupp_3%2C_CESKYTERRIER%2C_DK_UCH_NO_JV-14_NO_UCH_NO_V-15_NORD_JV-14_NORD_UCH_SE_UCH_Sellandafjalls_Teo_%2824310213205%29.jpg/400px-Grupp_3%2C_CESKYTERRIER%2C_DK_UCH_NO_JV-14_NO_UCH_NO_V-15_NORD_JV-14_NORD_UCH_SE_UCH_Sellandafjalls_Teo_%2824310213205%29.jpg
135,Chesapeake Bay Retriever,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/CH_Chesapeake.jpg/400px-CH_Chesapeake.jpg
136,Chien Français Blanc et Noir,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Fran%C3%A7ais_noir_et_blanc.JPG/400px-Fran%C3%A7ais_noir_et_blanc.JPG
137,Chien Français Blanc et Orange,https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png
138,Chien Français Tricolore,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Chien2.JPG/400px-Chien2.JPG
139,Chien-gris,https://upload.wikimedia.org/wikipedia/commons/7/71/Gris_De_Saint-Louis_from_1915.JPG
140,Chihuahua,https://upload.wikimedia.org/wikipedia/commons/4/4c/Chihuahua1_bvdb.jpg
141,Chilean Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Fox_terrier_chileno.JPG/400px-Fox_terrier_chileno.JPG
142,Chinese Chongqing Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Chinese_Chongqing_Dog_H%C3%BCndin.jpg/400px-Chinese_Chongqing_Dog_H%C3%BCndin.jpg
143,Chinese Crested Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/IndyStands.jpg/400px-IndyStands.jpg
144,Chinese Imperial Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Chinese_Imperial_Dog.jpg/400px-Chinese_Imperial_Dog.jpg
145,Chinook,https://upload.wikimedia.org/wikipedia/commons/8/84/Mountan_Laurel_Ajax_the_Chinook_dog.jpg
146,Chippiparai,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/A_male_chippiparai.jpg/400px-A_male_chippiparai.jpg
147,Chiribaya Dog,https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png
148,Chow Chow,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/ChowChow2Szczecin.jpg/400px-ChowChow2Szczecin.jpg
149,Cierny Sery,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/8s45heryprobaobraz_018.jpg/400px-8s45heryprobaobraz_018.jpg
150,Cirneco dell'Etna,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Cirneco_dell_Etna_611.jpg/400px-Cirneco_dell_Etna_611.jpg
151,Clumber Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Clumber_spaniel_767.jpg/400px-Clumber_spaniel_767.jpg
152,"Collie, Rough",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Rough_Collie_600.jpg/400px-Rough_Collie_600.jpg
153,"Collie, Smooth",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/SmoothCollieTri2_wb.jpg/400px-SmoothCollieTri2_wb.jpg
154,Combai,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Kombai_dog.jpg/400px-Kombai_dog.jpg
155,Cordoba Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Patan.jpg/400px-Patan.jpg
156,Coton de Tulear,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Coton_de_Tular_1.jpg/400px-Coton_de_Tular_1.jpg
157,Cretan Hound,https://upload.wikimedia.org/wikipedia/commons/b/ba/Kritikosichnilatis_1.jpg
158,Croatian Sheepdog,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Gera062005sed.jpg/400px-Gera062005sed.jpg
159,Cumberland Sheepdog,https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png
160,Curly-Coated Retriever,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Curly_Coated_Retriever.jpg/400px-Curly_Coated_Retriever.jpg
161,Cursinu,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Cursinu_1.jpg/400px-Cursinu_1.jpg
162,Czechoslovakian Wolfdog,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/TWH-jolly.JPG/400px-TWH-jolly.JPG
163,Dachshund,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Short-haired-Dachshund.jpg/400px-Short-haired-Dachshund.jpg
164,Dalbo dog,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Dalbohund.jpg/400px-Dalbohund.jpg
165,Dalmatian,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Dalmatian_liver_stacked.jpg/400px-Dalmatian_liver_stacked.jpg
166,Dandie Dinmont Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Dandie_Dinmont_Terrier_600.jpg/400px-Dandie_Dinmont_Terrier_600.jpg
167,Danish-Swedish Farmdog,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Danish_Swedish_Farmdog.jpg/400px-Danish_Swedish_Farmdog.jpg
168,Deutsche Bracke,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/DeutscheBracke.jpg/400px-DeutscheBracke.jpg
169,Dingo,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Dingo_walking.jpg/400px-Dingo_walking.jpg
170,Dobermann,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/European_Dobermann.jpg/400px-European_Dobermann.jpg
171,Dogo Argentino,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Dogo.jpg/400px-Dogo.jpg
172,Dogo Cubano,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/DogoCubano2.jpg/400px-DogoCubano2.jpg
173,Dogo Guatemalteco,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Dogo1.jpg/400px-Dogo1.jpg
174,Dogo Sardesco,https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png
